PFco_Code,segment,cluster_id,total_qty,total_value,total_total_values,transaction_count,avg_qty_per_trx,avg_value_per_trx,unique_months,avg_stok_akhir,avg_safety_stock,turnover_ratio,stockout_freq,overstock_freq,understock_freq
115,medium moving,0,3115.0,757350.0,665000833.5,6,519.17,126225.0,4,118.58,199.5,5.25,0.0,0.0,100.0
119,slow moving,2,317.01,111644.0,17713741.24,2,158.5,55822.0,2,56.2,41.97,0.71,0.0,0.0,0.0
123,slow moving,2,658.2,173052.0,29541823.2,4,164.55,43263.0,2,152.64,87.55,2.16,0.0,0.0,50.0
124,slow moving,2,2924.2,777366.0,319949436.0,9,324.91,86374.0,3,1399.55,270.99,0.7,0.0,66.67,0.0
125,slow moving,2,1479.86,368750.0,78907800.0,9,164.43,40972.22,5,154.62,71.24,0.96,0.0,0.0,0.0
126,slow moving,2,1076.9,273400.0,43976766.0,8,134.61,34175.0,5,144.4,56.89,0.83,0.0,0.0,11.11
127,slow moving,2,912.13,308844.0,133073309.38,4,228.03,77211.0,4,298.25,53.4,0.61,0.0,0.0,0.0
139,slow moving,2,15494.6,4723875.0,4084668516.5,21,737.84,224946.43,4,3423.86,949.55,1.13,0.0,0.0,0.0
145,medium moving,0,6857.55,1959275.0,1202542558.25,25,274.3,78371.0,9,166.76,239.44,1.29,31.25,0.0,50.0
146,slow moving,2,17220.16,4775600.0,2229199290.0,52,331.16,91838.46,12,729.02,292.24,0.55,6.98,9.3,55.81
148,slow moving,2,492.72,142900.0,5972309.0,19,25.93,7521.05,11,28.35,11.48,0.47,0.0,5.41,8.11
155,slow moving,2,48244.3,16761313.0,13985667021.76,137,352.15,122345.35,26,2489.83,634.76,0.46,0.0,26.19,4.76
158,fast moving,1,261372.29,71478850.0,46632806726.5,708,369.17,100958.83,43,13050.1,2001.96,0.47,0.0,88.37,0.0
160,slow moving,2,29555.24,8950000.0,5548859665.5,106,278.82,84433.96,31,1235.0,309.47,0.56,0.0,25.58,0.0
161,slow moving,2,4069.24,1077925.0,507340448.25,35,116.26,30797.86,16,176.4,88.9,0.56,7.32,7.32,17.07
164,medium moving,0,329.99,99840.0,6178814.4,6,55.0,16640.0,3,23.84,22.77,4.61,33.33,0.0,33.33
167,slow moving,2,2224.38,590160.0,96113734.8,18,123.58,32786.67,14,150.3,38.86,0.37,2.5,20.0,7.5
168,slow moving,2,579.34,145000.0,84004300.0,1,579.34,145000.0,1,461.69,136.62,1.25,0.0,0.0,0.0
172,slow moving,2,365.33,107240.0,28831919.2,2,182.66,53620.0,1,459.23,75.37,0.8,0.0,0.0,0.0
174,slow moving,2,22483.79,6536868.75,2278931058.79,89,252.63,73447.96,22,1250.39,263.31,0.75,4.17,33.33,8.33
175,medium moving,0,87049.17,24761326.0,12361384039.99,236,368.85,104920.87,40,1287.51,487.02,1.57,25.58,9.3,20.93
176,slow moving,2,121.94,35000.0,4267900.0,1,121.94,35000.0,1,59.81,31.65,2.04,0.0,0.0,0.0
177,slow moving,2,12528.68,3589774.0,578662779.04,124,101.04,28949.79,37,348.46,76.23,0.88,4.88,36.59,9.76
178,slow moving,2,304.57,67500.0,20558475.0,1,304.57,67500.0,1,483.57,62.81,0.63,0.0,100.0,0.0
179,fast moving,1,238533.49,59070275.0,27019366476.0,839,284.31,70405.57,43,18631.94,1487.84,0.3,0.0,86.05,0.0
181,medium moving,0,4112.44,956700.0,557720863.5,11,373.86,86972.73,7,148.18,169.19,0.99,25.0,0.0,14.29
183,medium moving,0,121.6,34500.0,4195200.0,1,121.6,34500.0,1,39.66,35.69,3.07,0.0,0.0,0.0
187,slow moving,2,44268.8,11874750.0,10335575803.0,81,546.53,146601.85,24,2572.02,597.46,0.43,0.0,35.0,0.0
188,slow moving,2,7368.54,1965950.0,421913118.5,46,160.19,42738.04,26,617.73,76.92,0.35,0.0,82.35,0.0
191,slow moving,2,501.66,134400.0,18235072.0,4,125.42,33600.0,2,248.38,69.2,1.01,0.0,0.0,0.0
193,medium moving,0,15449.46,4362610.0,819990511.6,129,119.76,33818.68,41,121.35,114.3,2.96,34.88,0.0,11.63
195,slow moving,2,8829.26,2417199.0,885137949.72,32,275.91,75537.47,3,1681.96,1002.19,1.75,0.0,0.0,0.0
197,slow moving,2,2452.35,723775.0,315479604.75,10,245.24,72377.5,6,234.28,110.19,0.5,0.0,0.0,0.0
198,slow moving,2,318.8,86475.0,6031684.5,10,31.88,8647.5,5,60.87,16.39,0.58,0.0,11.11,0.0
199,slow moving,2,6977.38,1929325.0,88173619.0,202,34.54,9551.11,40,758.69,38.87,0.21,0.0,97.67,0.0
200,medium moving,0,2202.68,588925.0,20304536.5,88,25.03,6692.33,26,43.09,27.48,1.76,37.93,3.45,17.24
201,slow moving,2,12801.11,3531200.0,269067721.5,216,59.26,16348.15,41,445.49,93.76,0.67,0.0,53.49,16.28
203,slow moving,2,508.24,129275.0,3232502.75,24,21.18,5386.46,9,29.88,17.99,1.0,11.76,0.0,5.88
204,slow moving,2,6040.53,1657350.0,66983689.5,200,30.2,8286.75,39,243.54,37.82,0.59,2.38,61.9,2.38
205,slow moving,2,30979.16,8636050.0,1423729621.0,310,99.93,27858.23,43,621.47,195.13,1.16,0.0,0.0,9.3
206,medium moving,0,5559.55,1537225.0,60501020.5,194,28.66,7923.84,39,55.47,42.76,2.33,16.28,0.0,25.58
208,slow moving,2,231.32,64800.0,8879760.0,2,115.66,32400.0,2,60.65,37.49,0.38,10.0,0.0,0.0
209,slow moving,2,644.66,212366.0,108826222.88,4,161.16,53091.5,4,204.58,41.52,0.21,0.0,40.0,0.0
211,medium moving,0,6809.46,1754300.0,324795453.0,55,123.81,31896.36,22,40.11,90.75,4.04,28.57,0.0,61.9
212,slow moving,2,285.05,66825.0,19048466.25,1,285.05,66825.0,1,212.01,65.57,1.34,0.0,0.0,0.0
214,medium moving,0,9356.25,2262030.0,1287375390.9,29,322.63,78001.03,12,203.25,199.34,1.77,26.92,0.0,19.23
215,slow moving,2,228.4,48000.0,5481600.0,2,114.2,24000.0,1,89.22,66.6,2.56,0.0,0.0,0.0
216,slow moving,2,12769.88,3119250.0,1727736165.0,36,354.72,86645.83,16,388.63,242.7,0.86,2.63,0.0,21.05
217,medium moving,0,17282.99,4342500.0,2931562230.0,35,493.8,124071.43,13,692.15,309.3,0.92,25.93,0.0,3.7
218,slow moving,2,24176.46,5934925.0,1639164586.88,130,185.97,45653.27,33,1302.91,150.81,0.43,0.0,67.44,0.0
222,slow moving,2,162.53,45100.0,7330103.0,1,162.53,45100.0,1,158.63,34.97,1.02,0.0,0.0,0.0
223,slow moving,2,45132.94,11792200.0,5232492050.4,158,285.65,74634.18,42,1128.93,343.59,0.93,4.65,20.93,2.33
224,slow moving,2,2384.68,717550.0,257615829.5,11,216.79,65231.82,7,241.47,69.92,0.9,9.09,0.0,0.0
226,slow moving,2,2046.25,515600.0,126564789.0,11,186.02,46872.73,7,192.19,73.6,0.43,0.0,4.0,8.0
228,slow moving,2,7083.12,1878920.0,250936294.6,63,112.43,29824.13,24,211.57,67.2,1.15,6.9,0.0,10.34
230,medium moving,0,6701.82,1797520.0,837529613.6,22,304.63,81705.45,12,210.19,166.69,0.78,21.95,0.0,26.83
232,slow moving,2,101112.61,26277930.0,10282838756.8,469,215.59,56029.7,43,3544.75,527.79,0.66,2.33,44.19,2.33
234,medium moving,0,68580.04,17283375.0,4454190068.75,427,160.61,40476.29,43,469.0,494.61,3.4,25.58,0.0,39.53
235,medium moving,0,6287.25,1595500.0,331094715.0,46,136.68,34684.78,24,131.36,66.49,1.29,18.92,0.0,2.7
236,slow moving,2,215.31,64400.0,6104228.0,3,71.77,21466.67,3,44.91,20.68,0.8,16.67,0.0,0.0
237,slow moving,2,36265.51,8936115.0,4992275289.15,84,431.73,106382.32,31,625.59,244.43,1.38,2.38,0.0,21.43
242,slow moving,2,1686.28,493815.0,141806779.65,9,187.36,54868.33,6,213.55,87.2,0.56,0.0,0.0,0.0
243,fast moving,1,221521.06,54404757.25,26156961814.22,811,273.15,67083.55,43,10690.75,1221.09,0.48,0.0,51.16,0.0
246,slow moving,2,620.8,181188.0,21322012.32,6,103.47,30198.0,3,94.01,63.9,0.26,4.0,0.0,28.0
247,slow moving,2,1243.7,350000.0,435295000.0,1,1243.7,350000.0,1,1059.41,329.06,1.17,0.0,0.0,0.0
248,slow moving,2,264.6,55000.0,5243700.0,3,88.2,18333.33,2,92.08,33.9,1.44,0.0,0.0,0.0
249,slow moving,2,154709.26,49961036.5,67052517305.05,149,1038.32,335308.97,42,4044.53,1109.99,0.89,2.33,16.28,4.65
250,medium moving,0,6589.01,1832014.0,358712680.58,51,129.2,35921.84,24,44.62,67.93,3.6,19.51,0.0,53.66
251,slow moving,2,3458.12,1030400.0,134674768.0,37,93.46,27848.65,20,55.78,57.14,1.48,7.14,0.0,59.52
252,slow moving,2,225.84,61856.0,13969559.04,1,225.84,61856.0,1,241.98,70.84,0.93,0.0,0.0,0.0
257,slow moving,2,6297.09,1614200.0,808439946.0,16,393.57,100887.5,7,581.26,303.09,0.35,12.9,0.0,0.0
258,slow moving,2,809.96,229115.0,32593261.05,16,50.62,14319.69,6,34.76,46.9,2.33,0.0,0.0,50.0
262,slow moving,2,28891.73,8655875.0,6660619976.75,44,656.63,196724.43,21,3470.29,398.53,0.2,0.0,90.24,0.0
269,fast moving,1,392570.09,103023680.0,78219142395.85,1015,386.77,101501.16,43,22818.84,2178.72,0.4,0.0,74.42,0.0
270,slow moving,2,793.54,207500.0,93172150.0,2,396.77,103750.0,2,126.13,138.12,0.21,0.0,0.0,76.67
271,slow moving,2,12490.12,3294450.0,660193101.0,84,148.69,39219.64,38,1023.22,71.28,0.29,0.0,92.86,0.0
274,slow moving,2,510.84,151356.0,40345226.64,2,255.42,75678.0,2,176.1,73.83,0.21,0.0,0.0,0.0
280,slow moving,2,372.7,129250.0,14055541.5,5,74.54,25850.0,4,53.81,20.97,0.63,0.0,9.09,0.0
281,slow moving,2,7448.7,2391875.0,580316013.0,55,135.43,43488.64,23,244.68,85.67,0.71,2.33,2.33,0.0
285,slow moving,2,39.4,15000.0,591000.0,1,39.4,15000.0,1,57.91,11.58,0.68,0.0,0.0,0.0
286,slow moving,2,18203.77,4624775.0,2920562108.5,39,466.76,118583.97,21,629.09,236.55,0.67,13.95,13.95,18.6
288,slow moving,2,21.88,5600.0,122528.0,1,21.88,5600.0,1,14.5,4.94,1.51,0.0,0.0,0.0
401,slow moving,2,2909.58,743940.0,54122324.4,49,59.38,15182.45,29,119.96,34.55,0.56,0.0,16.28,6.98
403,slow moving,2,6579.16,1809890.0,2326517852.1,21,313.29,86185.24,14,978.0,159.77,0.16,6.98,53.49,18.6
404,slow moving,2,16359.43,4536350.0,473135681.7,233,70.21,19469.31,42,586.21,87.65,0.65,0.0,39.53,0.0
405,slow moving,2,162.54,46020.0,1902123.0,6,27.09,7670.0,6,21.61,7.68,0.5,0.0,0.0,6.67
406,slow moving,2,3556.41,1021200.0,65047941.6,64,55.57,15956.25,31,106.68,25.64,0.79,9.52,26.19,4.76
416,slow moving,2,750.35,223368.0,36324227.4,5,150.07,44673.6,4,150.3,57.58,0.38,0.0,0.0,0.0
417,slow moving,2,30.1,9040.0,136584.0,2,15.05,4520.0,2,9.65,3.88,1.04,0.0,0.0,0.0
418,slow moving,2,2097.15,621090.0,102115218.0,36,58.25,17252.5,26,281.82,20.56,0.17,0.0,95.35,0.0
419,slow moving,2,5008.06,1410300.0,87347561.1,102,49.1,13826.47,37,347.13,35.75,0.34,0.0,88.37,0.0
420,slow moving,2,213.9,63450.0,8687790.0,2,106.95,31725.0,2,82.74,26.26,0.24,0.0,0.0,0.0
421,slow moving,2,7.6,2160.0,16416.0,1,7.6,2160.0,1,8.46,2.58,0.9,0.0,0.0,0.0
422,slow moving,2,60.9,13500.0,822150.0,1,60.9,13500.0,1,47.91,19.55,1.27,0.0,0.0,0.0
423,slow moving,2,8231.85,2042400.0,378322057.2,59,139.52,34616.95,30,552.16,56.43,0.37,2.5,52.5,0.0
424,slow moving,2,538.9,132150.0,17936040.0,5,107.78,26430.0,4,76.55,34.15,0.88,0.0,0.0,0.0
425,slow moving,2,60.0,13500.0,810000.0,1,60.0,13500.0,1,76.54,15.55,0.78,0.0,0.0,0.0
426,slow moving,2,241.1,63000.0,5442300.0,3,80.37,21000.0,3,62.25,20.69,0.48,12.5,0.0,0.0
428,slow moving,2,9305.37,2332968.0,694072294.38,57,163.25,40929.26,30,261.56,85.19,0.83,0.0,11.63,16.28
429,slow moving,2,181.8,51720.0,8041320.0,2,90.9,25860.0,2,60.75,29.26,0.15,0.0,0.0,0.0
432,medium moving,0,371.4,96000.0,9423840.0,4,92.85,24000.0,3,53.78,41.58,0.41,23.53,0.0,0.0
435,slow moving,2,210.2,60000.0,12612000.0,1,210.2,60000.0,1,227.9,46.47,0.92,0.0,0.0,0.0
436,slow moving,2,615.2,172530.0,23798124.0,5,123.04,34506.0,4,112.8,52.64,0.78,0.0,0.0,14.29
437,slow moving,2,5215.41,1335480.0,292004558.4,44,118.53,30351.82,27,246.93,39.54,0.49,9.3,34.88,23.26
438,medium moving,0,19151.53,4893688.0,1378632965.12,115,166.54,42553.81,26,334.06,178.94,1.37,14.29,0.0,16.67
439,slow moving,2,28899.44,7452190.0,2099465304.0,133,217.29,56031.5,37,547.25,230.09,1.23,11.63,0.0,11.63
444,slow moving,2,1193.5,268260.0,22818188.7,16,74.59,16766.25,11,78.8,35.34,0.5,0.0,10.0,13.33
445,slow moving,2,43983.77,8389500.0,4365553890.0,161,273.19,52108.7,39,2676.17,310.8,0.38,0.0,88.37,0.0
446,medium moving,0,4359.51,1109110.0,182494698.5,56,77.85,19805.54,31,66.5,46.7,1.52,20.93,2.33,13.95
447,medium moving,0,1521.5,347850.0,36394434.0,17,89.5,20461.76,15,31.23,32.37,1.19,26.83,0.0,51.22
448,slow moving,2,7581.84,1367280.0,239337507.0,63,120.35,21702.86,10,823.65,224.97,0.32,0.0,31.03,3.45
449,slow moving,2,230.49,33600.0,3128016.0,3,76.83,11200.0,2,57.3,28.47,2.01,0.0,0.0,0.0
450,slow moving,2,108.78,20400.0,2219112.0,1,108.78,20400.0,1,114.19,30.75,0.95,0.0,0.0,0.0
451,medium moving,0,33565.12,6543640.0,1877405647.2,251,133.73,26070.28,35,384.13,267.34,2.43,25.0,0.0,19.44
454,slow moving,2,32637.37,7792320.0,1599884103.3,325,100.42,23976.37,42,1947.71,230.79,0.39,0.0,74.42,0.0
455,slow moving,2,110.6,37500.0,3336000.0,2,55.3,18750.0,2,32.7,17.41,0.42,0.0,0.0,0.0
456,slow moving,2,14586.91,3537314.48,7823495721.79,18,810.38,196517.47,14,859.76,208.45,0.42,0.0,17.5,0.0
457,slow moving,2,120808.15,28215164.56,150896292985.11,104,1161.62,271299.66,37,3436.8,874.17,0.82,0.0,25.58,9.3
458,slow moving,2,60216.58,13896585.1,49595329441.72,43,1400.39,323176.4,27,2486.68,766.48,0.56,0.0,16.28,0.0
459,medium moving,0,53579.82,12498227.31,37914478223.04,31,1728.38,403168.62,20,2871.59,861.47,0.43,25.58,37.21,13.95
460,slow moving,2,17738.15,4311824.96,3415420839.22,93,190.73,46363.71,40,884.33,122.94,0.47,0.0,72.09,0.0
463,slow moving,2,356.8,80518.17,28728883.06,1,356.8,80518.17,1,402.76,100.91,0.89,0.0,0.0,0.0
464,slow moving,2,347.3,80518.17,27963960.44,1,347.3,80518.17,1,415.04,101.62,0.84,0.0,0.0,0.0
465,slow moving,2,358.2,81218.33,29092405.81,1,358.2,81218.33,1,351.9,93.73,1.02,0.0,0.0,0.0
466,slow moving,2,65.4,15480.0,829800.0,2,32.7,7740.0,2,18.0,9.21,0.13,0.0,0.0,10.34
468,slow moving,2,27478.54,6544722.28,1665930529.05,198,138.78,33054.15,42,884.14,220.23,0.74,0.0,45.24,4.76
469,slow moving,2,3671.06,900616.1,632553336.06,7,524.44,128659.44,6,418.37,214.0,0.3,0.0,6.9,17.24
470,slow moving,2,15203.22,3657086.9,8491210013.23,10,1520.32,365708.69,6,1714.42,734.13,0.31,3.45,0.0,10.34
471,slow moving,2,14674.78,3616300.7,9439934321.93,8,1834.35,452037.59,6,1255.72,557.51,0.4,0.0,0.0,0.0
472,slow moving,2,11530.79,2787322.91,4561248882.84,9,1281.2,309702.55,6,1092.72,622.68,0.36,0.0,0.0,3.45
473,slow moving,2,125.31,30090.0,1570190.7,3,41.77,10030.0,3,17.56,12.08,0.25,0.0,0.0,75.0
474,slow moving,2,99.64,26100.0,2600604.0,1,99.64,26100.0,1,127.12,25.81,0.78,0.0,0.0,0.0
475,slow moving,2,3070.85,833850.0,133020504.0,23,133.52,36254.35,18,57.51,40.03,1.53,8.57,0.0,40.0
477,slow moving,2,817.76,205200.0,64687096.0,3,272.59,68400.0,1,652.28,233.86,1.25,0.0,0.0,0.0
478,slow moving,2,2026.51,351720.0,195004364.4,5,405.3,70344.0,4,204.62,152.68,0.4,4.0,0.0,32.0
479,slow moving,2,7834.44,1718940.0,404922090.0,52,150.66,33056.54,20,1073.43,108.99,0.29,0.0,100.0,0.0
480,medium moving,0,13791.94,2614224.0,1579187801.58,43,320.74,60795.91,12,289.39,286.91,1.49,25.0,0.0,40.62
482,slow moving,2,279.6,58680.0,4271488.8,5,55.92,11736.0,4,47.87,23.35,0.83,0.0,0.0,0.0
484,slow moving,2,6079.59,1305960.0,266489982.0,54,112.58,24184.44,28,288.18,58.0,0.49,0.0,41.86,4.65
485,medium moving,0,3387.4,723600.0,177332430.0,16,211.71,45225.0,11,97.93,90.53,1.05,48.48,0.0,12.12
486,slow moving,2,1574.25,319800.0,342128705.1,4,393.56,79950.0,4,217.81,130.27,0.66,0.0,0.0,9.09
487,slow moving,2,330.0,66300.0,16118616.0,2,165.0,33150.0,2,93.31,43.59,0.71,0.0,0.0,0.0
488,slow moving,2,4254.56,876600.0,539383559.4,21,202.6,41742.86,13,352.14,110.19,0.37,6.06,27.27,3.03
489,medium moving,0,11066.77,2378880.0,698509774.8,63,175.66,37760.0,23,111.82,135.59,2.3,30.23,0.0,37.21
493,medium moving,0,44055.29,8547730.0,3251836498.5,213,206.83,40130.19,35,1295.67,303.38,0.94,19.44,38.89,27.78
495,medium moving,0,81930.12,17775480.0,8913809166.6,327,250.55,54359.27,43,1502.31,531.03,1.27,11.63,9.3,13.95
496,slow moving,2,794.21,171180.0,12004302.0,15,52.95,11412.0,10,33.61,24.2,0.81,3.45,0.0,27.59
497,slow moving,2,26264.48,5710150.0,2203021768.0,124,211.81,46049.6,37,1078.35,208.61,0.57,0.0,37.21,0.0
498,slow moving,2,2961.06,742500.0,288182250.0,9,329.01,82500.0,7,686.93,123.6,0.31,0.0,64.29,0.0
499,slow moving,2,424.3,150040.2,50862947.46,2,212.15,75020.1,1,356.42,102.23,1.19,0.0,0.0,0.0
502,slow moving,2,1649.2,619125.0,1021060950.0,1,1649.2,619125.0,1,1402.28,558.46,1.18,0.0,0.0,0.0
503,slow moving,2,72.95,34680.0,536520.0,8,9.12,4335.0,5,16.39,4.94,0.89,0.0,0.0,0.0
504,slow moving,2,451.82,170670.0,11904155.4,18,25.1,9481.67,14,13.18,10.11,1.04,6.06,0.0,63.64
505,slow moving,2,36.55,14280.0,226750.5,3,12.18,4760.0,3,6.72,3.07,0.27,0.0,10.0,55.0
506,slow moving,2,60.58,19950.0,1002165.0,2,30.29,9975.0,2,11.47,8.88,0.15,0.0,0.0,48.57
507,slow moving,2,1372.46,475860.0,34796442.0,28,49.02,16995.0,17,52.89,19.35,0.68,7.89,0.0,7.89
508,slow moving,2,6718.32,2123941.2,266456632.19,238,28.23,8924.12,42,342.1,54.01,0.46,0.0,58.14,2.33
509,slow moving,2,55.3,16200.0,895860.0,1,55.3,16200.0,1,83.77,11.41,0.66,0.0,100.0,0.0
510,slow moving,2,2263.11,732885.0,76429746.0,26,87.04,28187.88,20,152.2,35.19,0.38,0.0,46.15,0.0
514,slow moving,2,162.35,45900.0,3766299.0,2,81.18,22950.0,2,79.28,17.94,1.02,0.0,0.0,0.0
515,slow moving,2,720.45,235200.0,30955530.0,11,65.5,21381.82,11,45.82,22.05,0.42,0.0,2.7,5.41
518,medium moving,0,1874.04,457920.0,97022664.0,11,170.37,41629.09,8,65.03,73.03,2.4,50.0,0.0,25.0
519,slow moving,2,115.28,28000.0,3227840.0,1,115.28,28000.0,1,114.47,32.83,1.01,0.0,0.0,0.0
521,slow moving,2,7920.17,1961160.0,1221635727.15,18,440.01,108953.33,13,432.07,145.33,0.76,0.0,0.0,4.17
524,slow moving,2,154.9,34020.0,5269698.0,1,154.9,34020.0,1,225.49,51.58,0.69,0.0,0.0,0.0
529,slow moving,2,51370.14,12914360.0,10701160323.0,78,658.59,165568.72,14,2347.57,1230.87,1.56,7.14,7.14,21.43
530,slow moving,2,20230.25,5286500.0,5222913740.0,35,578.01,151042.86,12,1415.54,422.38,0.79,0.0,11.11,0.0
531,slow moving,2,6149.83,1557160.0,977943819.0,13,473.06,119781.54,9,796.85,210.65,0.3,0.0,23.08,0.0
532,medium moving,0,931.96,290700.0,55040958.0,6,155.33,48450.0,5,44.63,58.22,1.16,33.33,0.0,38.89
533,slow moving,2,109.4,26910.0,2943954.0,1,109.4,26910.0,1,105.68,27.18,1.04,0.0,0.0,0.0
535,slow moving,2,7911.08,1744042.5,2802964444.88,8,988.88,218005.31,6,739.74,436.82,0.49,4.55,0.0,4.55
536,slow moving,2,7431.74,1857600.0,1243263339.0,14,530.84,132685.71,7,940.21,310.02,1.13,0.0,0.0,0.0
537,slow moving,2,1277.18,335000.0,98749400.0,8,159.65,41875.0,4,81.56,70.47,1.12,0.0,0.0,42.86
538,slow moving,2,1374.19,356670.0,52545321.45,14,98.16,25476.43,6,152.47,66.19,0.27,0.0,3.03,9.09
539,slow moving,2,43202.69,12817560.0,3625944897.0,201,214.94,63768.96,42,1023.0,256.6,0.98,2.33,18.6,2.33
540,fast moving,1,327547.36,85977028.9,51935892890.86,847,386.71,101507.71,43,16189.8,1686.62,0.47,0.0,97.67,0.0
542,slow moving,2,280.5,64800.0,3635280.0,5,56.1,12960.0,5,41.83,16.38,1.12,0.0,0.0,16.67
544,slow moving,2,50545.47,12551730.0,13950961252.85,74,683.05,169617.97,19,2739.1,575.84,0.53,2.86,20.0,5.71
545,medium moving,0,6313.8,1626975.0,1907344161.0,9,701.53,180775.0,6,210.46,218.61,4.29,28.57,0.0,42.86
547,slow moving,2,585.49,137330.0,51227519.7,3,195.16,45776.67,3,75.33,57.04,0.25,3.23,0.0,61.29
549,slow moving,2,1435.17,370575.0,255072138.75,3,478.39,123525.0,2,350.39,175.71,0.19,0.0,0.0,4.55
551,slow moving,2,1132.09,295920.0,138540412.8,3,377.36,98640.0,2,254.24,156.74,2.23,0.0,0.0,0.0
553,medium moving,0,10033.85,2817540.0,704975279.4,47,213.49,59947.66,29,226.75,70.42,1.03,16.28,9.3,6.98
555,slow moving,2,10227.45,2760000.0,371978428.8,108,94.7,25555.56,34,397.29,105.2,0.6,0.0,39.53,0.0
559,slow moving,2,4269.77,1120050.0,218764836.0,33,129.39,33940.91,24,285.98,40.72,0.37,0.0,57.5,0.0
565,slow moving,2,15517.44,4530750.0,735904350.0,97,159.97,46708.76,26,481.54,134.6,0.79,2.44,2.44,14.63
566,slow moving,2,5534.49,1403835.0,453943495.2,23,240.63,61036.3,15,164.92,96.85,0.91,0.0,5.41,35.14
567,slow moving,2,2514.92,623880.0,288816634.8,8,314.36,77985.0,7,227.83,122.25,0.27,0.0,2.44,4.88
