PFco_Code,tahun,bulan,stok_awal,stok_masuk,penjualan,stok_akhir,safety_stock,status_stok
115,2021,2,993.18,1380.32,2273.54,99.96,199.5,understock
115,2021,3,99.96,620.73,560.84,159.85,199.5,understock
115,2021,4,159.85,60.48,110.29,110.04,199.5,understock
115,2021,5,110.04,0.0,0.0,102.52,199.5,understock
115,2021,6,102.52,188.32,170.33,120.51,199.5,understock
119,2021,9,149.88,63.59,151.3,62.17,41.97,normal
119,2021,10,62.17,0.0,0.0,54.18,41.97,normal
119,2021,11,54.18,0.0,0.0,48.68,41.97,normal
119,2021,12,48.68,0.0,0.0,46.02,41.97,normal
119,2022,1,46.02,0.0,0.0,42.93,41.97,normal
119,2022,2,42.93,30.49,0.0,67.13,41.97,normal
119,2022,3,67.13,0.0,0.0,61.73,41.97,normal
119,2022,4,61.73,170.77,165.71,66.79,41.97,normal
123,2024,4,283.36,181.63,202.4,262.59,87.55,normal
123,2024,5,262.59,235.89,455.8,42.68,87.55,understock
124,2024,5,1046.24,323.63,277.7,1092.17,270.99,normal
124,2024,6,1092.17,2021.13,1494.2,1619.1,270.99,overstock
124,2024,7,1619.1,1020.59,1152.3,1487.39,270.99,overstock
125,2023,8,359.42,44.7,60.56,343.56,71.24,normal
125,2023,9,343.56,378.25,398.92,322.89,71.24,normal
125,2023,10,322.89,452.74,664.02,111.61,71.24,normal
125,2023,11,111.61,279.96,296.43,95.14,71.24,normal
125,2023,12,95.14,28.6,0.0,115.89,71.24,normal
125,2024,1,115.89,0.0,0.0,102.71,71.24,normal
125,2024,2,102.71,0.0,0.0,92.72,71.24,normal
125,2024,3,92.72,46.46,0.0,127.49,71.24,normal
125,2024,4,127.49,0.0,0.0,111.29,71.24,normal
125,2024,5,111.29,71.53,59.93,122.89,71.24,normal
126,2023,9,175.04,412.52,464.49,123.07,56.89,normal
126,2023,10,123.07,0.0,0.0,105.75,56.89,normal
126,2023,11,105.75,0.0,0.0,96.12,56.89,normal
126,2023,12,96.12,64.12,119.52,40.72,56.89,understock
126,2024,1,40.72,20.13,0.0,58.16,56.89,normal
126,2024,2,58.16,231.98,139.27,150.87,56.89,normal
126,2024,3,150.87,248.56,179.28,220.15,56.89,normal
126,2024,4,220.15,0.0,0.0,197.27,56.89,normal
126,2024,5,197.27,284.59,174.34,307.52,56.89,normal
127,2022,1,231.12,240.52,147.64,324.0,53.4,normal
127,2022,2,324.0,28.87,0.0,323.15,53.4,normal
127,2022,3,323.15,551.9,590.13,284.92,53.4,normal
127,2022,4,284.92,142.36,139.36,287.92,53.4,normal
127,2022,5,287.92,18.32,35.0,271.24,53.4,normal
139,2024,4,3650.61,4205.19,4180.64,3675.16,949.55,normal
139,2024,5,3675.16,5412.6,5868.39,3219.37,949.55,normal
139,2024,6,3219.37,1555.88,1694.02,3081.23,949.55,normal
139,2024,7,3081.23,4389.99,3751.55,3719.67,949.55,normal
145,2021,12,700.09,34.79,115.5,619.38,239.44,normal
145,2022,1,619.38,115.16,217.6,516.94,239.44,normal
145,2022,2,516.94,21.06,13.51,524.49,239.44,normal
145,2022,3,524.49,0.0,0.0,496.13,239.44,normal
145,2022,4,496.13,0.0,0.0,437.71,239.44,normal
145,2022,5,437.71,96.63,0.0,502.54,239.44,normal
145,2022,6,502.54,2020.29,4427.74,0.0,239.44,stockout
145,2022,7,0.0,0.0,0.0,0.0,239.44,stockout
145,2022,8,0.0,0.0,0.0,0.0,239.44,stockout
145,2022,9,0.0,0.0,0.0,0.0,239.44,stockout
145,2022,10,0.0,0.0,0.0,0.0,239.44,stockout
145,2022,11,0.0,0.0,0.0,0.0,239.44,stockout
145,2022,12,0.0,0.0,0.0,0.0,239.44,stockout
145,2023,1,0.0,140.64,0.0,140.64,239.44,understock
145,2023,2,140.64,0.0,0.0,128.84,239.44,understock
145,2023,3,128.84,0.0,0.0,113.04,239.44,understock
145,2023,4,113.04,0.0,0.0,97.36,239.44,understock
145,2023,5,97.36,0.0,0.0,86.24,239.44,understock
145,2023,6,86.24,56.57,0.0,130.75,239.44,understock
145,2023,7,130.75,0.0,0.0,124.09,239.44,understock
145,2023,8,124.09,397.34,339.54,181.89,239.44,understock
145,2023,9,181.89,56.48,0.0,219.29,239.44,understock
145,2023,10,219.29,0.0,0.0,194.03,239.44,understock
145,2023,11,194.03,0.0,0.0,170.51,239.44,understock
145,2023,12,170.51,0.0,0.0,156.44,239.44,understock
145,2024,1,156.44,0.0,0.0,138.46,239.44,understock
145,2024,2,138.46,0.0,0.0,122.43,239.44,understock
145,2024,3,122.43,0.0,0.0,115.16,239.44,understock
145,2024,4,115.16,461.95,457.27,119.84,239.44,understock
145,2024,5,119.84,454.12,677.69,0.0,239.44,stockout
145,2024,6,0.0,556.85,564.05,0.0,239.44,stockout
145,2024,7,0.0,21.46,44.65,0.0,239.44,stockout
146,2021,1,1611.14,622.73,553.31,1680.56,292.24,normal
146,2021,2,1680.56,537.74,300.14,1918.16,292.24,normal
146,2021,3,1918.16,3908.73,2725.19,3101.7,292.24,overstock
146,2021,4,3101.7,0.0,0.0,2894.04,292.24,overstock
146,2021,5,2894.04,0.0,0.0,2478.41,292.24,overstock
146,2021,6,2478.41,0.0,0.0,2213.2,292.24,overstock
146,2021,7,2213.2,204.13,0.0,2087.55,292.24,normal
146,2021,8,2087.55,183.32,0.0,1983.34,292.24,normal
146,2021,9,1983.34,0.0,0.0,1745.93,292.24,normal
146,2021,10,1745.93,112.18,241.35,1616.76,292.24,normal
146,2021,11,1616.76,0.0,0.0,1405.07,292.24,normal
146,2021,12,1405.07,0.0,0.0,1212.99,292.24,normal
146,2022,1,1212.99,0.0,0.0,1090.32,292.24,normal
146,2022,2,1090.32,0.0,0.0,948.76,292.24,normal
146,2022,3,948.76,0.0,0.0,834.72,292.24,normal
146,2022,4,834.72,3019.24,4313.21,0.0,292.24,stockout
146,2022,5,0.0,196.23,0.0,196.23,292.24,understock
146,2022,6,196.23,1566.87,1575.3,187.8,292.24,understock
146,2022,7,187.8,0.0,0.0,167.31,292.24,understock
146,2022,8,167.31,79.79,0.0,224.97,292.24,understock
146,2022,9,224.97,0.0,0.0,210.86,292.24,understock
146,2022,10,210.86,0.0,0.0,184.08,292.24,understock
146,2022,11,184.08,0.0,0.0,163.41,292.24,understock
146,2022,12,163.41,82.88,0.0,229.44,292.24,understock
146,2023,1,229.44,0.0,0.0,203.34,292.24,understock
146,2023,2,203.34,0.0,0.0,173.33,292.24,understock
146,2023,3,173.33,0.0,0.0,159.07,292.24,understock
146,2023,4,159.07,0.0,0.0,146.81,292.24,understock
146,2023,5,146.81,0.0,0.0,138.32,292.24,understock
146,2023,6,138.32,278.96,0.0,398.8,292.24,normal
146,2023,7,398.8,1078.01,2011.29,0.0,292.24,stockout
146,2023,8,0.0,1862.83,1809.02,53.81,292.24,understock
146,2023,9,53.81,0.0,0.0,47.57,292.24,understock
146,2023,10,47.57,293.15,243.18,97.54,292.24,understock
146,2023,11,97.54,0.0,0.0,88.57,292.24,understock
146,2023,12,88.57,0.0,0.0,80.99,292.24,understock
146,2024,1,80.99,0.0,0.0,76.82,292.24,understock
146,2024,2,76.82,81.65,0.0,154.32,292.24,understock
146,2024,3,154.32,0.0,0.0,135.75,292.24,understock
146,2024,4,135.75,296.89,244.25,188.39,292.24,understock
146,2024,5,188.39,0.0,0.0,170.05,292.24,understock
146,2024,6,170.05,2269.88,2181.14,258.79,292.24,understock
146,2024,7,258.79,363.76,1022.78,0.0,292.24,stockout
148,2021,1,49.85,58.26,53.48,54.63,11.48,normal
148,2021,2,54.63,33.13,30.65,57.11,11.48,normal
148,2021,3,57.11,185.23,176.87,65.47,11.48,normal
148,2021,4,65.47,21.63,19.55,67.55,11.48,overstock
148,2021,5,67.55,24.16,23.5,68.21,11.48,overstock
