DATE,QUANTITIES_Kgs,VALUE,PFco_Code,Total_values,cluster,segmentasi_produk
19-Jan-21,54.02,12960.0,401,700099.2,0,slow moving
28-Jan-21,50.46,14400.0,401,726624.0,0,slow moving
02-Jan-21,104.45,28800.0,401,3008160.0,0,slow moving
19-Jan-21,208.62,51840.0,401,10814860.8,0,slow moving
20-Feb-21,50.04,14400.0,401,720576.0,0,slow moving
05-Feb-21,21.54,6000.0,401,129240.0,0,slow moving
07-Apr-21,54.22,12960.0,401,702691.2,0,slow moving
10-Jun-21,48.42,14400.0,401,697248.0,0,slow moving
03-Jul-21,52.91,12960.0,401,685713.6,0,slow moving
15-Dec-21,50.18,12960.0,401,650332.8,0,slow moving
18-Jan-22,50.64,12240.0,401,619833.6,0,slow moving
12-Jan-22,54.78,12960.0,401,709948.8,0,slow moving
24-Feb-22,53.83,14400.0,401,775152.0,0,slow moving
15-Mar-22,52.7,12960.0,401,682992.0,0,slow moving
23-Apr-22,53.8,12960.0,401,697248.0,0,slow moving
19-May-22,107.2,28800.0,401,3087360.0,0,slow moving
24-May-22,54.74,12960.0,401,709430.4,0,slow moving
08-Jun-22,51.58,12960.0,401,668476.8,0,slow moving
26-Jul-22,51.9,12960.0,401,672624.0,0,slow moving
20-Sep-22,50.82,12960.0,401,658627.2,0,slow moving
04-Nov-22,107.4,30000.0,401,3222000.0,0,slow moving
16-Dec-22,8.94,2700.0,401,24138.0,0,slow moving
05-Dec-22,49.92,12960.0,401,646963.2,0,slow moving
13-Dec-22,48.16,12960.0,401,624153.6,0,slow moving
31-Dec-22,52.52,12960.0,401,680659.2,0,slow moving
19-Jan-23,51.58,12600.0,401,649908.0,0,slow moving
09-Jan-23,52.16,12960.0,401,675993.6,0,slow moving
14-Jan-23,51.3,12960.0,401,664848.0,0,slow moving
22-Feb-23,49.48,14400.0,401,712512.0,0,slow moving
18-Apr-23,54.8,12960.0,401,710208.0,0,slow moving
25-Apr-23,50.2,12960.0,401,650592.0,0,slow moving
21-Jun-23,50.22,14400.0,401,723168.0,0,slow moving
16-Jun-23,50.24,12960.0,401,651110.4,0,slow moving
24-Jun-23,51.24,12960.0,401,664070.4,0,slow moving
24-Jul-23,53.15,12960.0,401,688824.0,0,slow moving
13-Oct-23,52.68,14400.0,401,758592.0,0,slow moving
05-Oct-23,53.56,12960.0,401,694137.6,0,slow moving
19-Dec-23,53.76,12960.0,401,696729.6,0,slow moving
30-Jan-24,51.46,12960.0,401,666921.6,0,slow moving
07-Feb-24,51.78,14400.0,401,745632.0,0,slow moving
27-Feb-24,53.7,12960.0,401,695952.0,0,slow moving
11-Apr-24,53.4,14400.0,401,768960.0,0,slow moving
15-Apr-24,106.1,27360.0,401,2902896.0,0,slow moving
03-Apr-24,54.38,12960.0,401,704764.8,0,slow moving
18-May-24,52.9,14400.0,401,761760.0,0,slow moving
17-May-24,53.2,12960.0,401,689472.0,0,slow moving
11-Jun-24,106.5,23760.0,401,2530440.0,0,slow moving
13-Jun-24,53.2,12960.0,401,689472.0,0,slow moving
02-Jul-24,54.8,12960.0,401,710208.0,0,slow moving
28-Jan-21,37.2,9600.0,404,357120.0,0,slow moving
06-Jan-21,11.5,2880.0,404,33120.0,0,slow moving
27-Jan-21,37.48,9600.0,404,359808.0,0,slow moving
02-Jan-21,56.26,13950.0,404,784827.0,0,slow moving
07-Jan-21,18.8,5250.0,404,98700.0,0,slow moving
04-Feb-21,17.94,3150.0,404,56511.0,0,slow moving
20-Feb-21,110.62,28800.0,404,3185856.0,0,slow moving
23-Feb-21,55.41,15750.0,404,872707.5,0,slow moving
04-Feb-21,36.35,9900.0,404,359865.0,0,slow moving
05-Feb-21,37.44,9600.0,404,359424.0,0,slow moving
10-Feb-21,54.98,14400.0,404,791712.0,0,slow moving
17-Feb-21,55.72,14400.0,404,802368.0,0,slow moving
24-Feb-21,111.04,28800.0,404,3197952.0,0,slow moving
03-Feb-21,55.66,13950.0,404,776457.0,0,slow moving
08-Mar-21,55.06,14850.0,404,817641.0,0,slow moving
19-Mar-21,54.84,14850.0,404,814374.0,0,slow moving
25-Mar-21,55.08,14850.0,404,817938.0,0,slow moving
29-Mar-21,54.24,14850.0,404,805464.0,0,slow moving
21-Apr-21,18.0,5100.0,404,91800.0,0,slow moving
23-Apr-21,53.8,14400.0,404,774720.0,0,slow moving
03-Apr-21,222.18,57600.0,404,12797568.0,0,slow moving
21-Apr-21,160.13,44550.0,404,7133791.5,0,slow moving
26-Apr-21,109.4,29700.0,404,3249180.0,0,slow moving
26-Apr-21,35.92,9900.0,404,355608.0,0,slow moving
03-Apr-21,55.04,14400.0,404,792576.0,0,slow moving
21-Apr-21,162.02,47250.0,404,7655445.0,0,slow moving
16-Apr-21,3.4,1050.0,404,3570.0,0,slow moving
02-Apr-21,108.66,29700.0,404,3227202.0,0,slow moving
12-Apr-21,106.4,29700.0,404,3160080.0,0,slow moving
12-Jun-21,212.84,59400.0,404,12642696.0,0,slow moving
16-Jun-21,108.2,29700.0,404,3213540.0,0,slow moving
25-Jun-21,107.52,29700.0,404,3193344.0,0,slow moving
09-Jul-21,53.92,15300.0,404,824976.0,0,slow moving
17-Jul-21,53.94,15300.0,404,825282.0,0,slow moving
07-Jul-21,267.84,74250.0,404,19887120.0,0,slow moving
