PFco_Code,segment,risk_category,priority,action,current_stock_kg,predicted_need_kg,safety_stock_kg,restock_qty_kg,turnover_ratio,stockout_pct,overstock_pct,suggestion
115,medium moving,overstock,SEDANG,KURANGI STOK,111.02,0.0,199.5,0.0,5.25,0.0,0.0,Stok berlebih (111 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
119,slow moving,overstock,RENDAH,KURANGI STOK,65.22,0.0,41.97,0.0,0.71,0.0,0.0,Stok berlebih (65 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
123,slow moving,overstock,RENDAH,KURANGI STOK,152.64,0.0,87.55,0.0,2.16,0.0,0.0,Stok berlebih (153 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
124,slow moving,overstock,RENDAH,KURANGI STOK,1399.55,0.0,270.99,0.0,0.7,0.0,66.67,Stok berlebih (1400 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
125,slow moving,overstock,RENDAH,KURANGI STOK,120.56,0.0,71.24,0.0,0.96,0.0,0.0,Stok berlebih (121 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
126,slow moving,overstock,RENDAH,KURANGI STOK,241.65,0.0,56.89,0.0,0.83,0.0,0.0,Stok berlebih (242 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
127,slow moving,overstock,RENDAH,KURANGI STOK,281.36,0.0,53.4,0.0,0.61,0.0,0.0,Stok berlebih (281 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
139,slow moving,overstock,RENDAH,KURANGI STOK,3340.09,0.0,949.55,0.0,1.13,0.0,0.0,Stok berlebih (3340 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
145,medium moving,understock,TINGGI,TAMBAH STOK SEGERA,0.0,643.32,239.44,882.76,1.29,31.25,0.0,Stok kurang (0 Kg vs kebutuhan 643 Kg). Segera restock minimal 643 Kg + safety stock 239 Kg.
146,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,142.95,1251.55,292.24,1400.84,0.55,6.98,9.3,Stok kurang (143 Kg vs kebutuhan 1252 Kg). Segera restock minimal 1109 Kg + safety stock 292 Kg.
148,slow moving,perlu_perhatian,RENDAH,MONITOR & SIAPKAN,22.26,37.6,11.48,41.36,0.47,0.0,5.41,Stok mendekati batas minimum. Siapkan order pembelian 38 Kg untuk periode berikutnya.
155,slow moving,optimal,RENDAH,PERTAHANKAN,1194.56,814.88,634.76,814.88,0.46,0.0,26.19,Stok dalam kondisi optimal (1195 Kg). Pertahankan pola restocking saat ini.
158,fast moving,overstock,TINGGI,KURANGI STOK,12614.54,6227.16,2001.96,0.0,0.47,0.0,88.37,Stok berlebih (12615 Kg vs kebutuhan 6227 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
